name,timestep,num_images,mean
r_Theta_1000,1000,10000,0.9991732240
r_Theta_900,900,10000,0.9996964931
r_Theta_800,800,10000,0.9997194409
r_Theta_700,700,10000,0.9991349578
r_Theta_600,600,10000,0.9981870055
r_Theta_500,500,10000,0.9973912239
r_Theta_400,400,10000,0.9957103729
r_Theta_300,300,10000,0.9937853813
r_Theta_200,200,10000,0.9901147485
r_Theta_150,150,10000,0.9869164228
r_Theta_140,140,10000,0.9861139655
r_Theta_130,130,10000,0.9848952293
r_Theta_120,120,10000,0.9836484194
r_Theta_110,110,10000,0.9825121164
r_Theta_100,100,10000,0.9809136987
r_Theta_90,90,10000,0.9791322351
r_Theta_80,80,10000,0.9765511751
r_Theta_70,70,10000,0.9734622240
r_Theta_60,60,10000,0.9699602723
r_Theta_50,50,10000,0.9653760791
r_Theta_40,40,10000,0.9581903219
r_Theta_30,30,10000,0.9478993416
r_Theta_20,20,10000,0.9309037328
r_Theta_10,10,10000,0.8994851708
r_Theta_0,0,10000,0.8747738004
